"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @KinjalAminDesai: Inhuman act . Shame. #KeralaElephantMurder",FALSE,0,NA,2020-06-04 12:28:25,FALSE,NA,"1268519980502409218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RAICHURARAJESH1",1,TRUE,FALSE,NA,NA
"RT @NabiyaKhan11: Bhakts even justified the death of migrant workers on railway tracks, victim-blaming them into asking ""why did they sleep…",FALSE,0,NA,2020-06-04 12:28:21,FALSE,NA,"1268519963482116096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beinghaiderali",13,TRUE,FALSE,NA,NA
"RT @_2abjsesji: #KeralaElephantMurder
#Istandwithmalappuram 
#StopSpreadingHateAgainstKerala 

Stop this clear case of selective communal h…",FALSE,0,NA,2020-06-04 12:28:21,FALSE,NA,"1268519962794250242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Davidlo65042291",7,TRUE,FALSE,NA,NA
"#KeralaElephantMurder reflects the sick mentality of wild literacy",FALSE,0,NA,2020-06-04 12:28:11,FALSE,NA,"1268519921425756161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shahi2a",0,FALSE,FALSE,NA,NA
"RT @shynu_mash: One day you workship us as god,
the next day you kill us with nade !
Hard to believe you humans <U+0001F494>
#Saveelephants #Conceptar…",FALSE,0,NA,2020-06-04 12:28:06,FALSE,NA,"1268519899447603200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kiruba1004",212,TRUE,FALSE,NA,NA
"@IndiaToday @RandeepHooda Common @RandeepHooda ! Where was a conflict? The poor pregnant #Elephant just went to the… https://t.co/HPKaLJqt2I",FALSE,0,"IndiaToday",2020-06-04 12:28:04,TRUE,"1268513314696572929","1268519889787973633","19897138","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nbrengaraju",0,FALSE,FALSE,NA,NA
"RT @Aditya14S: We deserve corona..!!!
We deserve cyclones..!!!
We deserve earthquake.!!
We deserve to die..!!

So other animals can live an…",FALSE,0,NA,2020-06-04 12:28:02,FALSE,NA,"1268519882418610176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biplabs50022230",485,TRUE,FALSE,NA,NA
"RT @BeingNationali1: @truejainology If they shows us humanity then why some humans have problem to show it towards animals?

They are not t…",FALSE,0,NA,2020-06-04 12:27:55,FALSE,NA,"1268519851653361665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biplabs50022230",599,TRUE,FALSE,NA,NA
"RT @Deepaksingh8788: #justiceforvinayaki
She died a horrific, painful death....
Humanity also died....
#KeralaElephantMurder 
@ZeeNews 
@Ru…",FALSE,0,NA,2020-06-04 12:27:54,FALSE,NA,"1268519849275191296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KapilMa85776264",63,TRUE,FALSE,NA,NA
"RT @BeingNationali1: @truejainology If they shows us humanity then why some humans have problem to show it towards animals?

They are not t…",FALSE,0,NA,2020-06-04 12:27:51,FALSE,NA,"1268519836725854208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shri__Om",599,TRUE,FALSE,NA,NA
"RT @shynu_mash: One day you workship us as god,
the next day you kill us with nade !
Hard to believe you humans <U+0001F494>
#Saveelephants #Conceptar…",FALSE,0,NA,2020-06-04 12:27:50,FALSE,NA,"1268519831860654080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","j_gun_",212,TRUE,FALSE,NA,NA
"RT @BarwarRitu: Nothing is scarier than an Angry Mother Nature..Beware Humans!!!
     #KeralaElephantMurder https://t.co/qFlFjT6ReV",FALSE,0,NA,2020-06-04 12:27:47,FALSE,NA,"1268519819675971590",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biplabs50022230",744,TRUE,FALSE,NA,NA
"Cover up to save the culprits has begun.
@narendramodi @DynastyMukt 
#KeralaElephantMurder https://t.co/NIh1GfM5M9",FALSE,0,NA,2020-06-04 12:27:47,FALSE,NA,"1268519819432701952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","divyangpat",0,FALSE,FALSE,NA,NA
"RT @bahardutt: where are all the politicians  when our elephant corridors are being siphoned for mega projects?  Is the media only going to…",FALSE,0,NA,2020-06-04 12:27:46,FALSE,NA,"1268519814743515138",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","anappleaneve",71,TRUE,FALSE,NA,NA
"RT @Jugal_18: 93.9% literacy rate. I'm sure that man is from the 6% group. #KeralaElephantMurder
#AlwaysWithYouAsim
 https://t.co/SfwPDo4TGb",FALSE,0,NA,2020-06-04 12:27:45,FALSE,NA,"1268519809760636929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RashamiAsim",22,TRUE,FALSE,NA,NA
"RT @iShasAwasthi: Elephants have brain but Humans not <U+0001F494><U+0001F494>
Please don't heart them for your enjoyment......
#KeralaElephantMurder https://t.c…",FALSE,0,NA,2020-06-04 12:27:43,FALSE,NA,"1268519803981086721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LIFEAMIRACLE",9,TRUE,FALSE,NA,NA
"RT @iArmySupporter: It’s intolerable. Finally! Humanity is dead. how can anyone be so cruel. <U+0001F62D>

Kerala Literacy Rate: 93.91%
Humanity : 0%…",FALSE,0,NA,2020-06-04 12:27:42,FALSE,NA,"1268519798717116417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biplabs50022230",635,TRUE,FALSE,NA,NA
"RT @ipspankajnain: They not only killed the Mother and the baby ,,
They also killed the TRUST ON HUMANS  for ever 
Shameful #KeralaElephant…",FALSE,0,NA,2020-06-04 12:27:40,FALSE,NA,"1268519787862335493",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GovindK99290857",1518,TRUE,FALSE,NA,NA
"RT @TheStreetofyou: #KeralaElephantMurder

We also demand for a strict law and strict action should be taken against the culprits. https://…",FALSE,0,NA,2020-06-04 12:27:39,FALSE,NA,"1268519786591465473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LIFEAMIRACLE",3,TRUE,FALSE,NA,NA
"RT @ANJALI72348961: Multiple Personality Disorder

""A disorder characterised by the presence of two or more distinct personality states.""
#…",FALSE,0,NA,2020-06-04 12:27:30,FALSE,NA,"1268519749018886147",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LIFEAMIRACLE",5,TRUE,FALSE,NA,NA
"RT @TilotiaHitesh: She died a horrific, painful death....
Humanity also died....
#KeralaElephantMurder https://t.co/PcdXqmuHh6",FALSE,0,NA,2020-06-04 12:27:28,FALSE,NA,"1268519739380264963",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biplabs50022230",641,TRUE,FALSE,NA,NA
"RT @Deepaksingh8788: #justiceforvinayaki
She died a horrific, painful death....
Humanity also died....
#KeralaElephantMurder 
@ZeeNews 
@Ru…",FALSE,0,NA,2020-06-04 12:27:28,FALSE,NA,"1268519738822594561",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","s_sumitkr",63,TRUE,FALSE,NA,NA
"RT @NeerajS62440056: I wish she had thought with the brain not by heart<U+0001F494>
#KeralaElephantMurder https://t.co/2SzvNMlZzs",FALSE,0,NA,2020-06-04 12:27:25,FALSE,NA,"1268519726482960384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LIFEAMIRACLE",16,TRUE,FALSE,NA,NA
"#JusticeForVinayaki as a human I am sorry...
#KeralaElephantMurder 
#humanityisdead 
#elephantkerala",FALSE,0,NA,2020-06-04 12:27:21,FALSE,NA,"1268519711102263297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DesineKumar",0,FALSE,FALSE,NA,NA
